arm,seed,epoch,loss,bpr_loss,emb_loss,epoch_seconds
LATTICE (image+text),0,0,103.05112,103.04942,0.0017,3.5
LATTICE (image+text),0,1,100.80037,100.7986,0.00178,3.3
LATTICE (image+text),0,2,98.23459,98.23271,0.00188,3.3
LATTICE (image+text),0,3,95.38479,95.38277,0.00202,3.3
LATTICE (image+text),0,4,92.17503,92.17284,0.00219,3.3
LATTICE (image+text),0,5,88.61847,88.61608,0.0024,3.3
LATTICE (image+text),0,6,84.86678,84.86414,0.00264,3.3
LATTICE (image+text),0,7,80.8057,80.80277,0.00293,3.3
LATTICE (image+text),0,8,76.60574,76.60248,0.00326,3.3
LATTICE (image+text),0,9,72.4781,72.4745,0.00361,3.3
LATTICE (image+text),0,10,68.35902,68.35503,0.00399,3.3
LATTICE (image+text),0,11,64.38902,64.38464,0.00438,3.3
LATTICE (image+text),0,12,60.45813,60.45333,0.00479,3.2
LATTICE (image+text),0,13,56.81968,56.81447,0.00521,3.3
LATTICE (image+text),0,14,53.34111,53.33545,0.00566,3.3
LATTICE (image+text),0,15,50.06822,50.06213,0.00608,3.3
LATTICE (image+text),0,16,46.99994,46.99343,0.00652,3.3
LATTICE (image+text),0,17,44.2074,44.20047,0.00693,3.3
LATTICE (image+text),0,18,41.41976,41.41236,0.00741,3.3
LATTICE (image+text),0,19,39.03764,39.02983,0.00781,3.3
LATTICE (image+text),0,20,36.68331,36.67506,0.00824,3.3
LATTICE (image+text),0,21,34.55605,34.5474,0.00866,3.3
LATTICE (image+text),0,22,32.59142,32.58236,0.00906,3.3
LATTICE (image+text),0,23,30.68688,30.67739,0.00949,3.3
LATTICE (image+text),0,24,28.92371,28.91382,0.00988,3.3
LATTICE (image+text),0,25,27.26919,27.25889,0.0103,3.3
LATTICE (image+text),0,26,25.78124,25.77056,0.01069,3.3
LATTICE (image+text),0,27,24.25245,24.24135,0.0111,3.3
LATTICE (image+text),0,28,22.90328,22.89179,0.01149,3.3
LATTICE (image+text),0,29,21.82743,21.81557,0.01185,3.3
LATTICE (image+text),0,30,20.68139,20.66921,0.01218,3.3
LATTICE (image+text),0,31,19.50359,19.491,0.01259,3.3
LATTICE (image+text),0,32,18.43987,18.42688,0.01299,3.3
LATTICE (image+text),0,33,17.58105,17.56775,0.0133,3.3
LATTICE (image+text),0,34,16.59333,16.57968,0.01365,3.3
LATTICE (image+text),0,35,15.79066,15.77664,0.01402,3.3
LATTICE (image+text),0,36,14.99231,14.97795,0.01437,3.3
LATTICE (image+text),0,37,14.26744,14.25278,0.01466,3.3
LATTICE (image+text),0,38,13.61329,13.59831,0.01497,3.3
LATTICE (image+text),0,39,12.86276,12.84744,0.01532,3.3
LATTICE (image+text),0,40,12.30247,12.28686,0.01562,3.3
LATTICE (image+text),0,41,11.75824,11.74233,0.01592,3.3
LATTICE (image+text),0,42,11.16652,11.15028,0.01624,3.3
LATTICE (image+text),0,43,10.76681,10.75031,0.0165,3.3
LATTICE (image+text),0,44,10.24235,10.22552,0.01682,3.3
LATTICE (image+text),0,45,9.6429,9.62579,0.01712,3.3
LATTICE (image+text),0,46,9.30654,9.28908,0.01746,3.3
LATTICE (image+text),0,47,8.83848,8.8208,0.01768,3.3
LATTICE (image+text),0,48,8.44791,8.42994,0.01797,3.3
LATTICE (image+text),0,49,8.1237,8.10547,0.01823,3.3
LATTICE (image+text),0,50,7.76909,7.75056,0.01854,3.3
