arm,epoch,n_seeds,loss_mean,loss_std
LATTICE (image+text),0,3,103.0519,0.00292
LATTICE (image+text),1,3,100.80879,0.01028
LATTICE (image+text),2,3,98.24519,0.01048
LATTICE (image+text),3,3,95.39243,0.00697
LATTICE (image+text),4,3,92.15821,0.01837
LATTICE (image+text),5,3,88.63147,0.01645
LATTICE (image+text),6,3,84.82796,0.05577
LATTICE (image+text),7,3,80.78516,0.02104
LATTICE (image+text),8,3,76.6059,0.05543
LATTICE (image+text),9,3,72.46724,0.07593
LATTICE (image+text),10,3,68.31555,0.03906
LATTICE (image+text),11,3,64.32006,0.06547
LATTICE (image+text),12,3,60.42526,0.09392
LATTICE (image+text),13,3,56.76176,0.12014
LATTICE (image+text),14,3,53.30819,0.03363
LATTICE (image+text),15,3,50.06699,0.10354
LATTICE (image+text),16,3,47.06232,0.09143
LATTICE (image+text),17,3,44.18892,0.07533
LATTICE (image+text),18,3,41.52489,0.11457
LATTICE (image+text),19,3,39.05304,0.03315
LATTICE (image+text),20,3,36.69371,0.00906
LATTICE (image+text),21,3,34.52797,0.03148
LATTICE (image+text),22,3,32.53069,0.12841
LATTICE (image+text),23,3,30.65307,0.13049
LATTICE (image+text),24,3,28.93429,0.05311
LATTICE (image+text),25,3,27.23934,0.04008
LATTICE (image+text),26,3,25.76685,0.06402
LATTICE (image+text),27,3,24.32263,0.06082
LATTICE (image+text),28,3,22.98414,0.07099
LATTICE (image+text),29,3,21.77917,0.0616
LATTICE (image+text),30,3,20.57882,0.10164
LATTICE (image+text),31,3,19.53511,0.07651
LATTICE (image+text),32,3,18.50225,0.10061
LATTICE (image+text),33,3,17.59526,0.07889
LATTICE (image+text),34,3,16.60906,0.02521
LATTICE (image+text),35,3,15.82848,0.04866
LATTICE (image+text),36,3,15.00416,0.02725
LATTICE (image+text),37,3,14.3001,0.02987
LATTICE (image+text),38,3,13.63463,0.02121
LATTICE (image+text),39,3,12.9096,0.11634
LATTICE (image+text),40,3,12.31331,0.04917
LATTICE (image+text),41,3,11.76369,0.05349
