label,n_items,tier_tau0.6,matched_node,cosine,node_scene_freq,node_degree,in_mit,in_nyu
pillow,340,exact,Pillow,1.0000,218,202,1,1
pan,327,exact,Pan,1.0000,84,144,1,1
blender,260,exact,Blender,1.0000,24,61,1,1
fan,245,exact,Fan,1.0000,20,66,1,1
bowl,216,exact,Bowl,1.0000,203,268,1,1
container,212,exact,Container,1.0000,19,70,1,1
kettle,196,exact,Kettle,1.0000,65,133,1,1
cookware set,180,near,Cookware,0.8754,17,65,1,1
table,173,exact,Table,1.0000,840,522,1,1
cutting board,161,exact,Cutting board,1.0000,65,135,1,1
heater,158,exact,Heater,1.0000,2,6,1,1
coffeemaker,157,near,Coffee maker,0.9391,80,124,1,1
toaster,157,exact,Toaster,1.0000,20,61,1,1
shower curtain,156,exact,Shower curtain,1.0000,63,68,1,1
blanket,151,exact,Blanket,1.0000,178,180,1,1
tray,128,exact,Tray,1.0000,24,91,1,1
organizer,121,far,Storage drawer,0.5862,2,8,1,0
glass,120,exact,Glass,1.0000,110,181,1,1
mug,114,exact,Mug,1.0000,9,47,1,0
bag,112,exact,Bag,1.0000,18,69,1,1
coffee maker,110,exact,Coffee maker,1.0000,80,124,1,1
basket,106,exact,Basket,1.0000,146,253,1,1
mattress,103,exact,Mattress,1.0000,4,13,1,1
towel,101,exact,Towel,1.0000,233,230,1,1
bottle,99,exact,Bottle,1.0000,82,164,1,1
mat,99,exact,Mat,1.0000,3,14,1,1
rice cooker,95,exact,Rice cooker,1.0000,2,12,1,0
toaster oven,93,exact,Toaster oven,1.0000,1,3,1,0
cake pan,93,near,Pan,0.8345,84,144,1,1
shelf,90,exact,Shelf,1.0000,160,255,1,1
tablecloth,87,exact,Tablecloth,1.0000,54,129,1,1
oven,86,exact,Oven,1.0000,207,207,1,1
glasses,83,exact,Glasses,1.0000,42,127,1,1
mattress pad,80,near,Mattress,0.8238,4,13,1,1
canvas prints,79,near,Drawing paper,0.6161,1,7,1,0
scale,79,exact,Scale,1.0000,1,13,1,0
teapot,79,exact,Teapot,1.0000,20,81,1,1
jar,77,exact,Jar,1.0000,11,53,1,1
chair,74,exact,Chair,1.0000,1046,532,1,1
fry pan,74,near,Frying pan,0.9443,1,17,1,0
air conditioner,73,exact,Air conditioner,1.0000,32,56,1,1
food processor,72,far,Kitchen appliance,0.5604,1,6,1,0
bed sheet set,71,near,Bed cover,0.6825,1,8,1,0
trash can,70,exact,Trash can,1.0000,63,122,1,1
thermometer,69,far,Heater,0.5236,2,6,1,1
ice cube tray,67,near,Tray,0.7000,24,91,1,1
knife,66,exact,Knife,1.0000,33,97,1,0
bags,65,near,Bag,0.8674,18,69,1,1
tv stand,63,exact,Tv stand,1.0000,6,19,1,1
microwave,62,exact,Microwave,1.0000,240,232,1,1
bowls,61,exact,Bowls,1.0000,19,80,1,1
cabinet,61,exact,Cabinet,1.0000,745,415,1,1
caddy,60,far,Taxidermy,0.4649,1,8,1,0
measuring cup,60,near,Cup,0.7069,103,191,1,1
cup,59,exact,Cup,1.0000,103,191,1,1
loaf pan,58,near,Bread,0.7572,12,70,1,0
holder,57,near,Cup holder,0.7271,1,6,1,0
muffin pan,57,near,Pan,0.7536,84,144,1,1
mattress topper,55,near,Mattress,0.7579,4,13,1,1
baking mat,55,near,Mat,0.6476,3,14,1,1
vacuum bags,55,near,Vacuum cleaner,0.7252,1,6,1,0
bakeware,54,near,Cookware,0.6896,17,65,1,1
rack,50,exact,Rack,1.0000,1,8,1,0
dispenser,49,near,Water dispenser,0.8757,1,8,1,0
bed,47,exact,Bed,1.0000,764,316,1,1
slow cooker,46,near,Cooker,0.8448,1,8,1,0
towels,46,exact,Towels,1.0000,36,87,1,1
dutch oven,45,near,Oven,0.7446,207,207,1,1
desk,45,exact,Desk,1.0000,122,145,1,1
cart,44,exact,Cart,1.0000,3,21,1,1
cookware,44,exact,Cookware,1.0000,17,65,1,1
measuring cups,44,near,Cups,0.7520,16,86,1,1
french press,42,far,French doors,0.5176,1,5,1,0
wine rack,40,exact,Wine rack,1.0000,16,65,1,1
dish,40,exact,Dish,1.0000,54,104,1,1
bottle opener,40,near,Glass bottle,0.6489,3,16,1,1
knife set,40,near,Knives,0.7518,5,36,1,0
bed frame,40,near,Bed canopy,0.7569,1,9,1,0
pot,40,exact,Pot,1.0000,82,147,1,1
towel set,40,near,Towel,0.7986,233,230,1,1
bath mat,39,exact,Bath mat,1.0000,24,37,1,1
dehydrator,39,far,Water bottle,0.4896,14,65,1,1
strainer,39,exact,Strainer,1.0000,1,9,1,0
plate,38,exact,Plate,1.0000,156,215,1,1
pitcher,36,exact,Pitcher,1.0000,9,53,1,0
carafe,36,near,Coffee maker,0.6688,80,124,1,1
mixing bowl,35,near,Bowl,0.7022,203,268,1,1
decanter,34,exact,Decanter,1.0000,3,9,1,1
baking cups,34,near,Cups,0.6841,16,86,1,1
ottoman,34,exact,Ottoman,1.0000,28,70,1,1
rug,33,exact,Rug,1.0000,435,336,1,1
storage box,33,exact,Storage box,1.0000,12,52,1,0
dish rack,33,exact,Dish rack,1.0000,52,124,1,1
butter dish,32,near,Dish,0.7444,54,104,1,1
filter,32,far,Block,0.4411,1,4,1,0
tumbler,32,near,Plunger,0.6340,3,6,1,1
grill,31,far,Stove,0.5762,413,277,1,1
utensil set,31,near,Utensils,0.8441,26,78,1,1
quilt set,31,near,Quilt,0.8177,26,53,1,1
lunch box,31,near,Boxes,0.6567,7,29,1,1
mattress protector,31,near,Mattress,0.6760,4,13,1,1
cutlery set,30,near,Cutlery,0.8078,15,61,1,1
mugs,30,exact,Mugs,1.0000,5,27,1,1
pizza pan,29,near,Pan,0.7988,84,144,1,1
bench,29,exact,Bench,1.0000,23,79,1,1
sauce pan,29,near,Pan,0.7965,84,144,1,1
bedding,29,exact,Bedding,1.0000,109,106,1,1
chopper,28,far,Toy helicopter,0.5962,1,12,1,0
cover,28,near,Bed cover,0.7156,1,8,1,0
stock pot,28,near,Pot,0.7468,82,147,1,1
storage bags,27,near,Storage containers,0.6883,2,8,0,1
microwave oven,27,near,Microwave,0.8717,240,232,1,1
jar opener,27,near,Jar,0.7714,11,53,1,1
vacuum cleaner,27,exact,Vacuum cleaner,1.0000,1,6,1,0
cleaner,27,exact,Cleaner,1.0000,1,13,1,0
bed skirt,26,near,Bedskirt,0.8593,1,3,0,1
grill pan,26,near,Pan,0.7682,84,144,1,1
cooker,26,exact,Cooker,1.0000,1,8,1,0
mold,26,far,Cheese,0.4892,2,20,1,0
oven mitt,26,near,Oven,0.6682,207,207,1,1
soap dispenser,25,exact,Soap dispenser,1.0000,43,75,1,1
bedspread,25,exact,Bedspread,1.0000,39,60,1,1
spice rack,25,exact,Spice rack,1.0000,2,8,1,0
steamer,25,near,Cooker,0.6042,1,8,1,0
shower curtain liner,25,near,Shower curtain,0.8725,63,68,1,1
plunger,24,exact,Plunger,1.0000,3,6,1,1
lid,24,near,Plastic lid,0.8189,1,5,0,1
box,24,exact,Box,1.0000,30,95,1,1
bowl set,24,near,Bowls,0.8167,19,80,1,1
skillet,24,exact,Skillet,1.0000,1,7,1,0
bread box,23,near,Bread,0.7975,12,70,1,0
carpet cleaner,23,near,Carpet,0.8271,33,64,1,1
drawer,23,exact,Drawer,1.0000,56,107,1,1
scoop,23,far,Bucket,0.5914,3,15,1,0
baking dish,22,near,Dish,0.7061,54,104,1,1
timer,22,near,Clock,0.6120,66,149,1,1
coffee filter,22,near,Coffee maker,0.7264,80,124,1,1
spatula,22,exact,Spatula,1.0000,1,9,1,0
pot rack,22,near,Rack,0.7612,1,8,1,0
vacuum,21,near,Vacuum cleaner,0.8498,1,6,1,0
vacuum bag,21,near,Vacuum cleaner,0.7412,1,6,1,0
tote bag,21,near,Bag,0.7400,18,69,1,1
coffee press,21,near,Coffee machine,0.7579,2,14,1,0
pillows,21,exact,Pillows,1.0000,73,111,1,1
cooktop,21,exact,Cooktop,1.0000,18,58,1,1
shelf liner,21,near,Shelf,0.7019,160,255,1,1
napkins,21,exact,Napkins,1.0000,2,16,1,1
toothbrush holder,20,exact,Toothbrush holder,1.0000,5,22,1,1
frying pan,20,exact,Frying pan,1.0000,1,17,1,0
chest,20,exact,Chest,1.0000,17,45,1,1
paper towel holder,20,exact,Paper towel holder,1.0000,4,21,1,1
bookcase,20,exact,Bookcase,1.0000,8,32,1,0
bundt pan,20,near,Pan,0.6654,84,144,1,1
espresso maker,20,near,Coffee maker,0.6822,80,124,1,1
toilet brush,19,near,Toilet,0.6948,214,145,1,1
plates,19,exact,Plates,1.0000,90,175,1,1
baskets,19,exact,Baskets,1.0000,3,26,1,0
brush,19,near,Scrub brush,0.8188,1,4,1,0
peeler,19,far,Platter,0.5233,5,39,1,0
