amazon_label,n_items,assigned_node,cosine
pillow,340,Pillow,1.0000
pan,327,Pan,1.0000
blender,260,Blender,1.0000
fan,245,Fan,1.0000
bowl,216,Bowl,1.0000
container,212,Container,1.0000
kettle,196,Kettle,1.0000
cookware set,180,Cookware,0.8754
table,173,Table,1.0000
cutting board,161,Cutting board,1.0000
heater,158,Heater,1.0000
coffeemaker,157,Coffee maker,0.9391
toaster,157,Toaster,1.0000
shower curtain,156,Shower curtain,1.0000
blanket,151,Blanket,1.0000
tray,128,Tray,1.0000
organizer,121,Storage drawer,0.5862
glass,120,Glass,1.0000
mug,114,Mug,1.0000
bag,112,Bag,1.0000
coffee maker,110,Coffee maker,1.0000
basket,106,Basket,1.0000
mattress,103,Mattress,1.0000
towel,101,Towel,1.0000
bottle,99,Bottle,1.0000
mat,99,Mat,1.0000
rice cooker,95,Rice cooker,1.0000
toaster oven,93,Toaster oven,1.0000
cake pan,93,Pan,0.8345
shelf,90,Shelf,1.0000
tablecloth,87,Tablecloth,1.0000
oven,86,Oven,1.0000
glasses,83,Glasses,1.0000
mattress pad,80,Mattress,0.8238
canvas prints,79,Drawing paper,0.6161
scale,79,Scale,1.0000
teapot,79,Teapot,1.0000
jar,77,Jar,1.0000
chair,74,Chair,1.0000
fry pan,74,Frying pan,0.9443
air conditioner,73,Air conditioner,1.0000
food processor,72,Kitchen appliance,0.5604
bed sheet set,71,Bed cover,0.6825
trash can,70,Trash can,1.0000
thermometer,69,Heater,0.5236
ice cube tray,67,Tray,0.7000
knife,66,Knife,1.0000
bags,65,Bag,0.8674
tv stand,63,Tv stand,1.0000
microwave,62,Microwave,1.0000
bowls,61,Bowls,1.0000
cabinet,61,Cabinet,1.0000
caddy,60,Taxidermy,0.4649
measuring cup,60,Cup,0.7069
cup,59,Cup,1.0000
loaf pan,58,Bread,0.7572
holder,57,Cup holder,0.7271
muffin pan,57,Pan,0.7536
mattress topper,55,Mattress,0.7579
baking mat,55,Mat,0.6476
vacuum bags,55,Vacuum cleaner,0.7252
bakeware,54,Cookware,0.6896
rack,50,Rack,1.0000
dispenser,49,Water dispenser,0.8757
bed,47,Bed,1.0000
slow cooker,46,Cooker,0.8448
towels,46,Towels,1.0000
dutch oven,45,Oven,0.7446
desk,45,Desk,1.0000
cart,44,Cart,1.0000
cookware,44,Cookware,1.0000
measuring cups,44,Cups,0.7520
french press,42,French doors,0.5176
wine rack,40,Wine rack,1.0000
dish,40,Dish,1.0000
bottle opener,40,Glass bottle,0.6489
knife set,40,Knives,0.7518
bed frame,40,Bed canopy,0.7569
pot,40,Pot,1.0000
towel set,40,Towel,0.7986
bath mat,39,Bath mat,1.0000
dehydrator,39,Water bottle,0.4896
strainer,39,Strainer,1.0000
plate,38,Plate,1.0000
pitcher,36,Pitcher,1.0000
carafe,36,Coffee maker,0.6688
mixing bowl,35,Bowl,0.7022
decanter,34,Decanter,1.0000
baking cups,34,Cups,0.6841
ottoman,34,Ottoman,1.0000
rug,33,Rug,1.0000
storage box,33,Storage box,1.0000
dish rack,33,Dish rack,1.0000
butter dish,32,Dish,0.7444
filter,32,Block,0.4411
tumbler,32,Plunger,0.6340
grill,31,Stove,0.5762
utensil set,31,Utensils,0.8441
quilt set,31,Quilt,0.8177
lunch box,31,Boxes,0.6567
mattress protector,31,Mattress,0.6760
cutlery set,30,Cutlery,0.8078
mugs,30,Mugs,1.0000
pizza pan,29,Pan,0.7988
bench,29,Bench,1.0000
sauce pan,29,Pan,0.7965
bedding,29,Bedding,1.0000
chopper,28,Toy helicopter,0.5962
cover,28,Bed cover,0.7156
stock pot,28,Pot,0.7468
storage bags,27,Storage containers,0.6883
microwave oven,27,Microwave,0.8717
jar opener,27,Jar,0.7714
vacuum cleaner,27,Vacuum cleaner,1.0000
cleaner,27,Cleaner,1.0000
bed skirt,26,Bedskirt,0.8593
grill pan,26,Pan,0.7682
cooker,26,Cooker,1.0000
mold,26,Cheese,0.4892
oven mitt,26,Oven,0.6682
soap dispenser,25,Soap dispenser,1.0000
bedspread,25,Bedspread,1.0000
spice rack,25,Spice rack,1.0000
steamer,25,Cooker,0.6042
shower curtain liner,25,Shower curtain,0.8725
plunger,24,Plunger,1.0000
lid,24,Plastic lid,0.8189
box,24,Box,1.0000
bowl set,24,Bowls,0.8167
skillet,24,Skillet,1.0000
bread box,23,Bread,0.7975
carpet cleaner,23,Carpet,0.8271
drawer,23,Drawer,1.0000
scoop,23,Bucket,0.5914
baking dish,22,Dish,0.7061
timer,22,Clock,0.6120
coffee filter,22,Coffee maker,0.7264
spatula,22,Spatula,1.0000
pot rack,22,Rack,0.7612
vacuum,21,Vacuum cleaner,0.8498
vacuum bag,21,Vacuum cleaner,0.7412
tote bag,21,Bag,0.7400
coffee press,21,Coffee machine,0.7579
pillows,21,Pillows,1.0000
cooktop,21,Cooktop,1.0000
shelf liner,21,Shelf,0.7019
napkins,21,Napkins,1.0000
toothbrush holder,20,Toothbrush holder,1.0000
frying pan,20,Frying pan,1.0000
chest,20,Chest,1.0000
paper towel holder,20,Paper towel holder,1.0000
bookcase,20,Bookcase,1.0000
bundt pan,20,Pan,0.6654
espresso maker,20,Coffee maker,0.6822
toilet brush,19,Toilet,0.6948
plates,19,Plates,1.0000
baskets,19,Baskets,1.0000
brush,19,Scrub brush,0.8188
peeler,19,Platter,0.5233
sheet set,19,Sheet,0.8089
bag clips,19,Bag,0.6843
shower caddy,18,Shower,0.6588
grater,18,Pumpkin,0.4025
shower rod,18,Shower curtain rod,0.8688
soap dish,18,Soap dish,1.0000
spoon,18,Spoon,1.0000
tote,18,Bag,0.4057
glassware,18,Glassware,1.0000
wine glasses,18,Wine glasses,1.0000
splatter screen,18,Screen,0.6357
stool,18,Stool,1.0000
dish drainer,18,Dish,0.7125
pillow protector,18,Pillow,0.7679
hamper,17,Hammock,0.7851
soap pump,17,Soap,0.7430
utensil holder,17,Utensil holder,1.0000
stand,17,Stand,1.0000
saucepan,17,Saucer,0.7267
roaster oven,17,Oven,0.7933
recliner,16,Recliner,1.0000
mattress cover,16,Bed cover,0.8470
cutlery,16,Cutlery,1.0000
pillow cover,16,Pillow,0.8302
cups,16,Cups,1.0000
hooks,16,Wall hooks,0.7824
griddle,16,Pan,0.4983
shower curtain rings,16,Shower curtain,0.7827
containers,16,Containers,1.0000
water bottle,16,Water bottle,1.0000
scraper,16,Strainer,0.4788
poster,15,Poster,1.0000
coffee table,15,Coffee table,1.0000
stopper,15,Shaker,0.4450
bento box,15,Box,0.6545
percolator,14,Coffee pot,0.5723
sifter,14,Shaker,0.5058
measuring cup set,14,Cup,0.6169
canister,14,Canister,1.0000
magnet,14,Light,0.4359
laundry bag,14,Laundry basket,0.7859
ice tray,14,Tray,0.7820
headboard,14,Headboard,1.0000
coffee brewer,14,Coffee maker,0.8450
wine glass,14,Wine glass,1.0000
mixing bowls,14,Bowls,0.7060
bath rug set,14,Rugs,0.7439
divider,13,Calculator,0.4515
pot holder,13,Pot,0.7247
bottles,13,Bottles,1.0000
oven mitts,13,Ovens,0.6633
shot glass,13,Glass,0.7816
storage container,13,Storage container,1.0000
bath rug,13,Rug,0.8174
slicer,13,Platter,0.6747
pie pan,13,Pan,0.8097
espresso machine,13,Coffee machine,0.7218
baking pan,13,Pan,0.7690
filters,12,Canisters,0.4112
sofa,12,Sofa,1.0000
pillow cases,12,Pillows,0.8168
shower curtain hooks,12,Shower curtain,0.7964
sweeper,12,Broom,0.6988
towel holder,12,Towel holder,1.0000
air bed,12,Beds,0.7123
food storage set,12,Food container,0.6891
table runner,12,Table runner,1.0000
hook,12,Wall hooks,0.5991
gasket,12,Gas burner,0.5412
pressure cooker,12,Cooker,0.7483
cushion,12,Cushion,1.0000
jars,12,Jars,1.0000
storage bag,12,Bag,0.7468
shot glasses,11,Glasses,0.8125
