graph_node,amazon_items,amazon_labels,mean_cosine
Pan,711,45,0.7240
Pillow,416,13,0.8170
Coffee maker,401,27,0.6568
Bag,353,53,0.6646
Cookware,287,10,0.7526
Mattress,285,11,0.7176
Blender,269,3,0.7563
Bowl,265,9,0.7787
Fan,246,2,0.8630
Tray,243,22,0.7477
Heater,241,7,0.6260
Shower curtain,217,6,0.8451
Container,214,3,0.8400
Oven,198,11,0.7254
Kettle,196,1,1.0000
Table,195,6,0.7424
Cutting board,175,10,0.6533
Mat,172,13,0.7176
Toaster,163,5,0.6616
Blanket,157,5,0.7117
Towel,155,8,0.7530
Vacuum cleaner,155,15,0.6812
Cup,151,11,0.6799
Glass,142,9,0.7204
Dish,138,13,0.7609
Storage drawer,129,6,0.7636
Cooker,129,9,0.7620
Mug,121,4,0.8629
Bottle,120,10,0.7282
Cups,119,13,0.6774
Basket,119,7,0.7603
Bed cover,117,4,0.7276
Jar,117,12,0.7651
Shelf,115,5,0.7604
Bowls,114,10,0.7189
Frying pan,112,6,0.7693
Pot,105,16,0.7456
Bread,102,6,0.7475
Rack,100,15,0.7862
Knife,100,9,0.6267
Scale,100,8,0.6167
Rice cooker,97,3,0.8119
Glasses,96,4,0.7623
Microwave,96,6,0.7949
Tablecloth,96,6,0.7802
Teapot,94,4,0.7985
Toaster oven,94,2,0.9323
Air conditioner,93,8,0.6548
Drawing paper,85,2,0.6130
Chair,78,3,0.8281
Trash can,77,5,0.7458
Kitchen appliance,73,2,0.5328
Shaker,71,16,0.6255
Cabinet,68,3,0.8122
Strainer,67,9,0.6881
Tv stand,64,2,0.7560
Plate,63,10,0.7998
Water bottle,62,5,0.6267
Cup holder,62,5,0.7304
Box,61,11,0.6626
Cart,61,7,0.6932
Water dispenser,60,10,0.7038
Taxidermy,60,1,0.4649
Plunger,59,5,0.7633
Bath mat,53,7,0.8156
Knives,52,6,0.7662
Bed,50,4,0.7506
Food container,48,13,0.7309
Decanter,47,6,0.6838
Rug,47,3,0.7516
Cutlery,47,3,0.8454
Desk,47,3,0.7683
Towels,46,1,1.0000
Storage containers,45,4,0.8069
Bedding,44,6,0.7749
Glass bottle,44,3,0.7533
Coffee machine,44,9,0.7224
Pillows,44,6,0.8298
Platter,43,6,0.5585
Bed canopy,42,3,0.6186
French doors,42,1,0.5176
Boxes,41,9,0.6481
Wine rack,41,2,0.9001
Stove,39,3,0.6790
Laundry basket,39,6,0.8054
Utensils,39,2,0.9221
Dish rack,38,4,0.7852
Storage box,38,5,0.8294
Cleaner,38,5,0.6608
Drawer,38,9,0.7706
Bedskirt,37,3,0.8674
Block,37,3,0.4790
Quilt,37,2,0.9089
Pitcher,36,1,1.0000
Spoon,34,8,0.7035
Ottoman,34,1,1.0000
Soap,34,5,0.7969
Bottles,33,8,0.7472
Plastic lid,33,6,0.6723
Screen,33,7,0.6512
Drain,33,13,0.6902
Wall hooks,33,4,0.6452
Mugs,33,2,0.7972
Carpet,32,4,0.8245
Shower curtain rod,32,5,0.8870
Bench,31,2,0.8765
Spice rack,31,3,0.7756
Jars,30,5,0.8149
Toilet,30,8,0.6667
Soap dispenser,30,2,0.8833
Beds,29,10,0.6589
Pastry,29,10,0.7088
Wine glass,29,6,0.7583
Saucer,29,7,0.6053
Sheet,28,4,0.7487
Cheese,28,3,0.6141
Toy helicopter,28,1,0.5962
Cookies,28,6,0.7115
Toothbrush holder,28,5,0.9058
Clock,27,3,0.8039
Sink,27,9,0.7302
Shower,27,7,0.7257
Paper,26,8,0.7241
Pans,26,11,0.7506
Coffee pot,26,3,0.7471
Scrub brush,25,5,0.6901
Bedspread,25,1,1.0000
Cookbook,25,7,0.7325
Storage container,25,4,0.7843
Bookcase,24,3,0.7832
Bucket,24,2,0.7957
Coffee grinder,24,7,0.8113
Eggs,24,9,0.6606
Plates,24,5,0.8059
Skillet,24,1,1.0000
Spatula,24,3,0.8652
Gas burner,23,8,0.6032
Cooktop,23,3,0.7666
Corn,23,5,0.5861
Ice bucket,23,9,0.5717
Storage unit,23,6,0.7992
Canisters,22,4,0.6384
Crockery,22,4,0.7850
Towel rack,22,3,0.8356
Spoons,22,7,0.7289
Stand,22,3,0.7844
Napkins,21,1,1.0000
Towel holder,20,5,0.7899
Baskets,20,2,0.8593
Chest,20,1,1.0000
Stool,20,3,0.8558
Paper towel holder,20,1,1.0000
Wine glasses,20,3,0.8296
Ovens,19,5,0.5821
Comforter,19,2,0.9156
Hanger,19,4,0.7316
Utensil holder,19,3,0.8249
Recliner,19,4,0.8193
Tea set,18,9,0.6710
Dishcloth,18,6,0.8648
Wine bottle,18,7,0.7243
Dryer,18,6,0.6464
Freezer,18,5,0.5086
Glassware,18,1,1.0000
Pumpkin,18,1,0.4025
Carriage,18,4,0.5168
Soap dish,18,1,1.0000
Containers,17,2,0.8512
Mixer,17,7,0.7053
Hammock,17,1,0.7851
Poster,17,2,0.8903
Shelves,17,6,0.7730
Shelving unit,17,3,0.9043
Rugs,16,3,0.8028
Coffee table,16,2,0.9257
Faucet,16,3,0.7721
Food items,16,6,0.6023
Light,16,3,0.5652
Coffee cups,15,4,0.8188
Cushion,15,3,0.8912
Dining table,15,4,0.8461
Kitchenware,15,4,0.7544
Frame,15,3,0.8061
Sofa,15,3,0.8838
Bookshelf,14,5,0.7076
Canister,14,1,1.0000
Jug,14,2,0.7703
Glove,14,5,0.7605
Headboard,14,1,1.0000
Salt,14,5,0.6997
Chairs,13,4,0.7707
Calculator,13,1,0.4515
Tea pot,13,6,0.7574
Utensil,13,2,0.7235
Sinks,13,3,0.7193
Vanity,13,3,0.8581
Speaker,12,2,0.6829
Broom,12,1,0.6988
Table runner,12,1,1.0000
Wine,12,6,0.6842
Bar,11,7,0.7487
Bar stool,11,1,1.0000
Tool set,11,6,0.6615
Canister set,11,4,0.6693
Hats,11,4,0.5871
Cloth,11,5,0.7887
Stir sticks,11,6,0.7180
Coat rack,11,2,0.8218
Shoe rack,11,4,0.7909
Ironing board,11,8,0.7587
Mop bucket,11,2,0.7198
Sponge,11,3,0.8309
Tissue box,11,2,0.9202
Cards,10,6,0.7174
Wine cooler,10,2,0.7931
Duvet,10,5,0.7117
Fireplace,10,1,1.0000
Juice jug,10,2,0.6588
Shelving,10,3,0.9221
Tissue holder,10,3,0.8862
Well,10,1,0.3736
Washer,9,6,0.6827
Bunk bed,9,2,0.8751
Slide,9,1,0.6112
Cd player,9,5,0.5423
Sugar bowl,9,2,0.8239
Door,9,2,0.6824
Dresser,9,1,1.0000
Flooring,9,3,0.6507
Cot,9,2,0.4696
Pots,9,4,0.7768
Nightstand,9,1,1.0000
Placemats,9,3,0.9162
Step stool,9,1,1.0000
Stools,9,1,1.0000
Teacups,9,5,0.8616
Toilet paper holder,9,7,0.7499
Washcloth,9,3,0.8681
Stone wall,8,5,0.6042
Bar stools,8,2,0.9452
Bath,8,2,0.6804
Water heater,8,5,0.7559
Cans,8,3,0.5267
Coaster,8,3,0.9175
Decorative pot,8,3,0.5988
Knife rack,8,2,0.8762
Knife block,8,4,0.8383
Luggage rack,8,1,1.0000
Radiator,8,1,1.0000
Slippers,8,6,0.6391
Plastic straws,8,2,0.7929
Waste basket,8,1,1.0000
Wastebasket,8,1,1.0000
Daybed,7,1,0.5952
Tree,7,5,0.7365
Fork,7,2,0.8904
Chopping board,7,5,0.8223
Knife holder,7,6,0.6976
Cutlery holder,7,2,0.8806
Dining chairs,7,2,0.8704
End table,7,3,0.7880
Refrigerator,7,1,1.0000
Toy,7,2,0.7581
Washcloths,7,5,0.7766
Spice jar,7,4,0.8457
Rope,7,2,0.5818
Artwork,6,4,0.8328
Papers,6,2,0.5894
Bean bag chair,6,2,0.9714
Chess set,6,5,0.5825
Candelabra,6,3,0.6317
Book,6,2,0.8109
Buffet,6,3,0.8906
Computer,6,3,0.5919
Croissant,6,1,0.6346
Dishrack,6,2,0.8129
Shoes,6,3,0.6822
Pepper shaker,6,3,0.4999
Shopping cart,6,2,0.8587
Music stand,6,2,0.7451
Stocking,6,1,0.6478
Storage bin,6,1,1.0000
Bathtub,5,4,0.8326
Beverage glass,5,3,0.8145
Chopping knife,5,3,0.5906
Decorative box,5,3,0.5959
Toothbrush,5,3,0.8401
Floor mat,5,4,0.8029
Recycling bin,5,4,0.7031
Conditioner,5,2,0.8674
Furniture,5,2,0.9259
Plastic bag,5,5,0.6551
Mirror,5,2,0.8255
Paper holder,5,2,0.8286
Pie,5,5,0.7054
Towel ring,5,4,0.6652
Rock,5,3,0.6162
Towel bar,5,2,0.8743
