item,tier,pop_decile,train_pop,exposures,hits20_noobj_s0,hits20_noobj_s1,hits20_noobj_s2,hits20_control_s0,hits20_control_s1,hits20_control_s2,hits20_shufobj_s0,hits20_shufobj_s1,hits20_shufobj_s2
0,exact,7,12,1,0,0,0,0,0,0,0,0,0
1,exact,8,13,3,0,0,0,0,0,0,0,0,0
2,near,9,38,13,0,0,0,0,0,0,0,0,0
3,exact,2,3,2,0,0,0,0,0,0,0,0,0
5,exact,1,2,1,0,0,0,0,0,0,0,0,0
6,exact,2,3,3,0,0,0,0,0,0,0,0,0
7,exact,3,4,1,0,0,0,0,0,0,0,0,0
8,near,7,12,3,0,0,0,0,0,0,0,0,0
9,near,5,6,3,0,0,0,0,0,0,0,0,0
10,exact,0,1,3,0,0,0,0,0,0,0,0,0
11,exact,6,7,1,0,0,0,0,0,0,0,0,0
12,near,7,10,6,0,0,0,0,0,0,0,0,0
13,exact,6,8,2,0,0,0,0,0,0,0,0,0
14,exact,9,31,19,0,0,0,0,0,0,0,0,0
16,far,9,41,13,1,0,1,1,0,0,0,0,0
17,near,9,33,6,4,2,4,4,2,3,3,2,3
18,exact,6,7,2,0,0,0,0,0,0,0,0,0
20,exact,7,9,1,0,0,0,0,0,0,0,0,0
21,near,2,3,2,0,0,0,0,0,0,0,0,0
22,exact,3,4,2,0,0,0,0,0,0,0,0,0
23,exact,7,10,3,0,0,0,0,0,0,0,0,0
25,near,2,3,4,0,0,0,0,0,0,0,0,0
26,exact,8,16,7,0,0,0,0,0,0,0,0,0
27,exact,8,19,11,0,1,2,0,0,0,0,0,0
28,exact,1,2,2,0,0,0,0,0,0,0,0,0
30,exact,3,4,1,0,0,0,0,0,0,0,0,0
31,near,1,2,3,0,0,0,0,0,0,0,0,0
32,near,2,3,2,0,0,0,0,0,0,0,0,0
33,far,3,4,1,0,0,0,0,0,0,0,0,0
34,near,9,41,13,6,0,5,8,0,3,0,1,1
35,exact,7,10,3,1,0,1,0,0,0,0,0,0
36,exact,3,4,3,0,0,0,0,0,0,0,0,0
37,near,2,3,1,0,0,0,0,0,0,0,0,0
39,exact,3,4,2,0,0,0,0,0,0,0,0,0
40,exact,8,14,5,0,0,0,0,0,0,0,0,0
41,exact,9,24,3,1,1,1,1,0,1,0,0,1
42,exact,7,12,3,0,0,0,0,0,0,0,0,0
44,near,8,20,8,0,0,0,0,0,0,0,0,0
45,near,9,28,16,0,0,0,1,0,0,0,0,0
46,exact,3,4,1,0,0,0,0,0,0,0,0,0
47,near,9,27,8,0,0,0,0,0,0,0,0,0
48,exact,5,5,1,0,0,0,0,0,0,0,0,0
49,far,7,9,1,0,0,0,0,0,0,0,0,0
50,far,7,9,6,0,0,0,0,0,0,0,0,0
51,exact,7,9,4,0,0,0,0,0,0,0,0,0
52,far,5,6,3,0,0,0,0,1,0,0,0,0
53,exact,8,17,8,0,0,0,0,0,0,0,0,0
54,near,3,4,1,0,0,0,0,0,0,0,0,0
55,near,2,3,2,0,0,0,0,0,0,0,0,0
56,exact,7,9,1,0,0,0,0,0,0,0,0,0
58,near,5,5,2,0,0,0,0,0,0,0,0,0
