stratum,items,exposures,hit20_noobj_s0,hit20_noobj_s1,hit20_noobj_s2,hit20_control_s0,hit20_control_s1,hit20_control_s2,hit20_shufobj_s0,hit20_shufobj_s1,hit20_shufobj_s2
exact,6557,29919,0.037033,0.035195,0.035797,0.039005,0.038337,0.038638,0.033858,0.03212,0.033022
near,4847,23299,0.044508,0.044294,0.043779,0.049058,0.048157,0.04674,0.044122,0.043392,0.041976
far,1347,6960,0.04727,0.05,0.048707,0.047557,0.051437,0.048276,0.043966,0.047845,0.043966
all,12751,60178,0.041111,0.04043,0.04038,0.043886,0.043654,0.042889,0.039001,0.038303,0.037755
decile0,538,1321,0.0,0.000757,0.0,0.000757,0.000757,0.0,0.0,0.000757,0.0
decile1,1210,2586,0.0058,0.0058,0.003867,0.00348,0.005414,0.004254,0.001933,0.00348,0.003867
decile2,1619,3160,0.008861,0.008861,0.00981,0.008861,0.009494,0.009494,0.007278,0.007595,0.006962
decile3,1522,2988,0.014391,0.014391,0.009371,0.014056,0.013722,0.011379,0.010375,0.012718,0.01071
decile5,2066,4937,0.016609,0.017825,0.016407,0.017419,0.018837,0.017419,0.013571,0.016812,0.013774
decile6,1258,3804,0.021819,0.021819,0.018927,0.021819,0.019979,0.021819,0.016562,0.01735,0.017087
decile7,1507,5825,0.021288,0.022318,0.023004,0.020601,0.023348,0.025236,0.018541,0.020429,0.020944
decile8,1478,8807,0.032361,0.029976,0.031793,0.03361,0.031793,0.032928,0.028727,0.027138,0.027819
decile9,1553,26750,0.067813,0.066579,0.067065,0.073869,0.073121,0.071028,0.067178,0.064523,0.06385
exact|decile0,290,729,0.0,0.001372,0.0,0.0,0.001372,0.0,0.0,0.001372,0.0
exact|decile1,654,1420,0.003521,0.002817,0.002113,0.002817,0.00493,0.003521,0.000704,0.000704,0.002817
exact|decile2,842,1680,0.007143,0.007738,0.009524,0.007738,0.008333,0.010119,0.005952,0.007143,0.007738
exact|decile3,823,1600,0.01375,0.010625,0.0075,0.013125,0.013125,0.00875,0.01125,0.010625,0.006875
exact|decile5,1073,2587,0.016235,0.016622,0.015462,0.017395,0.018941,0.015075,0.012756,0.013529,0.01237
exact|decile6,631,1886,0.02439,0.021739,0.021739,0.0228,0.020148,0.02333,0.016967,0.016437,0.017497
exact|decile7,773,2969,0.018862,0.017514,0.019535,0.018862,0.020882,0.020209,0.01583,0.01482,0.016841
exact|decile8,712,4179,0.029911,0.026083,0.027997,0.031347,0.028236,0.029672,0.02369,0.022733,0.024886
exact|decile9,759,12869,0.062165,0.060067,0.060922,0.066361,0.06504,0.066283,0.060067,0.056337,0.05758
far|decile0,48,117,0.0,0.0,0.0,0.008547,0.0,0.0,0.0,0.0,0.0
far|decile1,108,253,0.007905,0.003953,0.003953,0.0,0.003953,0.0,0.0,0.003953,0.003953
far|decile2,159,288,0.010417,0.006944,0.006944,0.006944,0.006944,0.010417,0.006944,0.006944,0.003472
far|decile3,151,300,0.006667,0.016667,0.006667,0.01,0.01,0.01,0.0,0.006667,0.006667
far|decile5,215,556,0.016187,0.014388,0.014388,0.016187,0.016187,0.017986,0.008993,0.017986,0.016187
far|decile6,131,420,0.021429,0.016667,0.014286,0.019048,0.021429,0.021429,0.014286,0.016667,0.016667
far|decile7,163,681,0.023495,0.0279,0.033774,0.020558,0.01909,0.036711,0.023495,0.0279,0.030837
far|decile8,163,1045,0.033493,0.031579,0.032536,0.032536,0.038278,0.030622,0.030622,0.028708,0.026794
far|decile9,209,3300,0.076667,0.082727,0.079697,0.078788,0.085152,0.07697,0.074242,0.079394,0.071818
