node,items_in_product_text,in_mit,in_nyu
Kitchen,2115,1,0
Dishwasher,2004,1,1
Food,1946,1,1
Cup,1724,1,1
Glass,1607,1,1
Pan,1373,1,1
Oven,1110,1,1
Well,1081,1,0
Table,875,1,1
Cups,853,1,1
Microwave,769,1,1
Tray,697,1,1
Bag,696,1,1
Box,678,1,1
Bowl,663,1,1
Bed,640,1,1
Cookware,638,1,1
Rack,637,1,0
Pans,616,1,0
Pot,595,1,1
Pillow,589,1,1
Light,561,1,1
Wall,557,1,0
Dish,526,1,1
Shelf,519,1,1
Bath,502,0,1
Bottle,500,1,1
Shower,471,1,1
Mattress,468,1,1
Container,463,1,1
Decor,456,1,0
Bathroom,454,1,0
Paper,428,1,1
Freezer,423,1,0
Vegetables,418,1,1
Counter,416,1,1
Stand,406,1,0
Bar,396,1,1
Towel,394,1,1
Bowls,388,1,1
Range,387,1,0
Fan,379,1,1
Basket,374,1,1
Countertop,363,1,1
Wine,363,1,0
Drawer,352,1,1
Frame,352,1,1
Jar,345,1,1
Board,331,1,0
Glasses,329,1,1
Sheet,326,1,0
Furniture,324,0,1
Bread,323,1,0
Cloth,318,1,1
Cabinet,316,1,1
Floor,314,1,1
Blender,311,1,1
Towels,310,1,1
Toaster,309,1,1
Cart,298,1,1
Bottles,298,1,1
Fruit,297,1,1
Containers,296,1,1
Shelves,295,1,1
Mat,293,1,1
Cake,292,1,0
Soap,289,1,1
Pots,287,1,1
Curtain,286,1,1
Plate,283,1,1
Knife,268,1,0
Shower curtain,265,1,1
Bamboo,263,1,0
Cutlery,263,1,1
Instructions,253,1,0
Stovetop,245,1,0
Art,240,1,0
Sink,238,1,1
Utensils,231,1,1
Tv,227,1,1
Slide,226,1,0
Mugs,222,1,1
Kettle,222,1,1
Cooker,221,1,0
Door,220,1,0
Book,214,1,1
Knives,214,1,0
Cheese,210,1,0
Cleaner,209,1,0
Cutting board,208,1,1
Heater,207,1,1
Pillows,207,1,1
Beverage,203,1,0
Fruits,200,1,1
Window,199,1,1
Drawers,199,1,1
Coffee maker,194,1,1
Mug,194,1,0
Bedding,192,1,1
Boxes,192,1,1
Refrigerator,191,1,1
Plates,190,1,1
Note,189,1,0
Chair,187,1,1
Blanket,175,1,1
Stove,174,1,1
Cookies,172,1,0
Coffee machine,169,1,0
Desk,164,1,1
Glassware,164,1,1
Orange,163,1,0
Remote,162,1,0
Utensil,157,0,1
Appliance,155,1,0
Frames,152,1,1
Spoon,151,1,0
Screen,151,1,1
Jars,146,1,0
Ball,144,1,0
Eggs,143,1,0
Mirror,143,1,1
Scale,142,1,0
Spatula,142,1,0
Closet,136,1,0
Toaster oven,133,1,0
Cabinets,131,1,1
Drain,130,1,1
Vegetable,128,1,0
Storage container,127,1,0
Block,127,1,0
Knob,125,1,0
Sponge,122,1,1
Remote control,118,1,1
Car,115,1,0
Ovens,111,1,0
Skillet,110,1,0
Artwork,108,1,1
Breads,108,1,0
Conditioner,108,1,1
Pantry,107,1,0
Clock,107,1,1
Rug,107,1,1
Spices,107,1,0
Kitchenware,105,0,1
Throw,105,1,0
Coaster,105,1,0
Appliances,104,1,0
Teapot,103,1,1
Strainer,103,1,0
Tablecloth,103,1,1
Rice cooker,102,1,0
Spoons,102,1,0
Blankets,99,1,0
Pie,98,1,0
Cushion,97,1,1
Star,96,1,0
Pitcher,94,1,0
Pastry,92,1,0
Storage containers,92,0,1
Wall art,91,1,1
Canister,91,1,0
Tables,90,1,0
Plunger,89,1,1
Cross,87,1,0
Air conditioner,87,1,1
Monitor,86,0,1
Toilet,86,1,1
Paper towel,84,1,0
Chairs,83,1,1
Mixer,83,1,0
Books,82,1,1
Teapots,80,1,0
Toys,79,1,1
Clothes,77,1,0
Shelving,77,1,1
Bench,76,1,1
Vacuum cleaner,76,1,0
Baskets,75,1,0
Carpet,75,1,1
Gifts,74,0,1
Trash can,74,1,1
Lights,73,1,1
Towel holder,73,1,1
Shoes,73,1,1
Fridge,71,1,0
Doors,70,1,0
Beds,69,1,1
Tv stand,67,1,1
Detergent,66,1,0
Computer,66,1,1
Dryer,66,1,0
Cupboard,65,1,0
Stool,65,1,1
Flower,64,1,0
Coffee mug,64,0,1
Tree,64,1,0
Paper towel holder,64,1,1
Lime,64,1,0
Comforter,63,1,0
Tap,63,1,0
Menu,63,1,1
